family,species,p4_m,p4_sd,p7_m,p7_sd,p2_m,p2_sd,p3_m,p3_sd,p8_m,p8_sd,p6_m,p6_sd,p1_m,p1_sd,p5_m,p5_sd,nentropy_m,nentropy_sd,sd_tot,trophic_guild_predicted
Acanthuridae,Naso_lopezi,0.07996568787527973,0.1418841199606384,0.031695784625823314,0.08387780305743736,0.6511389024796546,0.34762125845839,0.0020194148538243994,0.022670848912207373,0.21616701323956075,0.2764661621060558,0.006865390424110437,0.046214474352958716,0.0037633449513338603,0.03485568746941628,0.008384461550412965,0.040567572214773834,0.8432764923290296,0.12917183380132122,0.47953212547136054,2
Acanthuridae,Naso_tonganus,0.07996568787527973,0.1418841199606384,0.031695784625823314,0.08387780305743736,0.6511389024796546,0.34762125845839,0.0020194148538243994,0.022670848912207373,0.21616701323956075,0.2764661621060558,0.006865390424110437,0.046214474352958716,0.0037633449513338603,0.03485568746941628,0.008384461550412965,0.040567572214773834,0.8432764923290296,0.12917183380132122,0.47953212547136054,2
Acanthuridae,Naso_tuberosus,0.07996568787527973,0.1418841199606384,0.031695784625823314,0.08387780305743736,0.6511389024796546,0.34762125845839,0.0020194148538243994,0.022670848912207373,0.21616701323956075,0.2764661621060558,0.006865390424110437,0.046214474352958716,0.0037633449513338603,0.03485568746941628,0.008384461550412965,0.040567572214773834,0.8432764923290296,0.12917183380132122,0.47953212547136054,2
Acanthuridae,Naso_brachycentron,0.15271962578393064,0.21824690757401335,0.03510429596414677,0.08730333136103931,0.6573395764693499,0.348250263334623,0.0016507211441582625,0.0181477913416968,0.12709127722200975,0.20918151088584505,0.017722126054488578,0.08541992410030105,0.003151891565044217,0.03243943614698403,0.00522048579687188,0.027828281391896796,0.8397641186770997,0.13001735297784264,0.47931343687415895,2
Acanthuridae,Naso_fageni,0.12913570514361664,0.19606557456639306,0.034560438836389984,0.08713681187648634,0.661225277446606,0.3450153883798257,0.0017581698129680563,0.019388544235282155,0.14998966668890046,0.22772509742906244,0.013874056286316326,0.07318703947891707,0.0032982119548530574,0.032926188097296055,0.006158473830349547,0.03258345412779023,0.8389801990127627,0.13093319407250503,0.4741381080157704,2
Acanthuridae,Naso_mcdadei,0.1170041125100351,0.18379723672327059,0.03410258833357737,0.08674248443210923,0.6613353467013101,0.3443578175169191,0.001818285227489561,0.0201149334102829,0.16364632940062548,0.23834410616877855,0.012021665600811901,0.06656691128809887,0.0033849275122098525,0.03321984783678873,0.0066867447139406,0.03509218829024953,0.8392697275589015,0.13095585904242857,0.47314552355148604,2
Acanthuridae,Prionurus_microlepidotus,0.0412778208555899,0.10572535545839613,0.010281214899276667,0.03909115341933852,0.9384262879541662,0.14475347224807522,1.56888950776546e-4,0.003223902524605766,0.007103329419952298,0.02633801973580659,0.001522824942242748,0.013981465959928345,8.01030159496718e-5,8.201565182890878e-4,0.001151529962045955,0.005462408340259485,0.953837225136946,0.07845137265356551,0.18598283139420027,2
Acanthuridae,Prionurus_maculatus,0.016045157150409748,0.05124685360611387,0.006913887188784828,0.025927217710773658,0.9637292732978668,0.09634020126080366,1.484184965564666e-4,0.0024559670572300483,0.011147605083041892,0.039844396659284007,3.6095787567287673e-4,0.0036829403707442244,6.732090794108695e-5,5.620164600488963e-4,0.0015873799997262088,0.007351754679795065,0.9666887295872257,0.06674927773566688,0.11933746658194462,2
Acanthuridae,Prionurus_scalprum,0.02018636358627181,0.06179212466000645,0.007623411832627546,0.029015204287032897,0.9601254855690674,0.10396000264205912,1.4814205230944777e-4,0.0024908229908881595,0.009902191240827191,0.0356175728822854,4.996396309371115e-4,0.005259305460651329,6.53509002086579e-5,5.698008003104899e-4,0.0014494151877508614,0.006433756027935249,0.9645192882874255,0.06896720400972726,0.12966119226606426,2
Acanthuridae,Prionurus_chrysurus,0.006803590639415247,0.022786707950852084,0.005184598423510159,0.018912721308672883,0.9660719738944702,0.08935316555486046,1.7296431389194155e-4,0.0027691467243402598,0.019087366932038025,0.06121051867155995,1.2383155885172678e-4,0.0012231315930532945,1.2283772637401756e-4,0.0011506596084703946,0.002432836511448689,0.01246409021959464,0.968505817206605,0.06406682961132419,0.11301983305714204,2
Acanthuridae,Prionurus_biafraensis,0.003137367782791493,0.010364762511310886,0.004715736347087964,0.017784826880213395,0.9492929085692905,0.12078473673184029,2.2023881445135433e-4,0.0031114877055369084,0.038131552820212314,0.10086704037219367,5.75154720223951e-5,6.807558810541447e-4,4.3025023366780887e-4,0.004971716812270817,0.00401442996047624,0.01765109089993249,0.9604687511903579,0.06921378241671547,0.15979131575974692,2
