"family","genspe","c_m","c_sd","n_m","n_sd","p_m","p_sd","diet_cat"
"Lutjanidae","Lutjanus_agennes",0.378408807271581,0.0358197408633344,0.0909840644656321,0.0084371199298123,0.0153698219176267,0.00283518879966006,4
"Lutjanidae","Lutjanus_alexandrei",0.31226837987281,0.0206219368722137,0.059291321921585,0.00376399851889179,0.0123692742979115,0.0011218184967998,7
"Lutjanidae","Lutjanus_analis",0.361916684111326,0.0228248022576181,0.0811633173475488,0.00543697654226023,0.0150884552461422,0.00183823083309924,7
"Lutjanidae","Lutjanus_apodus",0.364061886174225,0.0262506776672612,0.0829908240062341,0.00619670628162546,0.0149736107783543,0.00209285479692256,4
"Lutjanidae","Lutjanus_aratus",0.370957159300958,0.0297727301903106,0.0866046245358211,0.00702686588543823,0.0152850960219834,0.00237138244651792,4
"Lutjanidae","Lutjanus_argentimaculatus",0.368639749952322,0.0276170855862759,0.0850791985455721,0.00653129880003555,0.015203138071644,0.00220646962757098,4
"Lutjanidae","Lutjanus_argentiventris",0.3611433094845,0.0234189391105793,0.0810911142498784,0.00554994105339638,0.0150587158742684,0.00187566095863592,7
"Lutjanidae","Lutjanus_bengalensis",0.332724464855967,0.0155504064769545,0.0666152567788838,0.0035630359749952,0.0139047230356245,0.00112964736461362,7
"Lutjanidae","Lutjanus_biguttatus",0.328022735428825,0.0159304266526416,0.0644478564540049,0.00352553542404111,0.0136093491481704,0.00109881242133114,7
"Lutjanidae","Lutjanus_bitaeniatus",0.326830889258754,0.0176455420197897,0.0650815106427221,0.00365795102298364,0.0132652638368933,0.00115422376233754,7
"Lutjanidae","Lutjanus_bohar",0.362101008771631,0.0226253218499382,0.0811872904395717,0.00539622244316405,0.0151465725359738,0.00182422851572467,7
"Lutjanidae","Lutjanus_boutton",0.332992445327275,0.0171705829429969,0.0677976409323629,0.0037680462608531,0.0137321163754759,0.00121515566228818,7
"Lutjanidae","Lutjanus_buccanella",0.360691668279414,0.0215172944726897,0.0803203822619208,0.00514732449014002,0.0152161646603442,0.00173839804701294,7
"Lutjanidae","Lutjanus_campechanus",0.367941961084919,0.0260000585965863,0.0843928887478669,0.00616436816443295,0.0153873560924108,0.00208536360865397,7
"Lutjanidae","Lutjanus_carponotatus",0.344353132616887,0.016539444288108,0.0722152108647446,0.00393742081674302,0.0144750888091648,0.00129806876449881,7
"Lutjanidae","Lutjanus_coeruleolineatus",0.339719188512915,0.0176096623674801,0.0708688477168843,0.00401218237381261,0.014060816675164,0.001320415337942,7
"Lutjanidae","Lutjanus_colorado",0.36697597210264,0.0255640038523088,0.0839197690376503,0.00606183000689467,0.0153749852048195,0.00205087107949912,7
"Lutjanidae","Lutjanus_cyanopterus",0.376405657016115,0.0344920940644142,0.0898461655166496,0.00812651656541935,0.0152652731524694,0.002732237113171,4
"Lutjanidae","Lutjanus_decussatus",0.339749332938716,0.0152794399857167,0.0695293370010289,0.00368458399088144,0.0144077839687548,0.0011856851045013,7
"Lutjanidae","Lutjanus_dentatus",0.373840536347347,0.0305581903965562,0.0878687155770337,0.00721244655156003,0.01546347307168,0.00243465135611633,4
"Lutjanidae","Lutjanus_dodecacanthoides",0.325673175367366,0.01789997582054,0.0646992114476887,0.00367447099037531,0.0132092224643317,0.00115592627881478,7
"Lutjanidae","Lutjanus_ehrenbergii",0.339702409202292,0.0158867295948388,0.0699521056325474,0.00373731662614049,0.0142616122050412,0.00121451890285284,7
"Lutjanidae","Lutjanus_endecacanthus",0.366945807953011,0.0265414159027629,0.084198090331686,0.00627992086743356,0.0152494409030411,0.00212308276488968,7
"Lutjanidae","Lutjanus_erythropterus",0.361818036088977,0.022769607413004,0.0811787812696899,0.00542122191861901,0.015219360871448,0.00183264704018944,7
"Lutjanidae","Lutjanus_fulgens",0.355704506883914,0.0210058574700596,0.0783372629485212,0.00498515134544788,0.0148727756057685,0.00168041151606498,7
"Lutjanidae","Lutjanus_fulviflamma",0.337511430766506,0.0150939918504193,0.0685703623316311,0.00357158620402745,0.0140491079735706,0.00115086925849474,7
"Lutjanidae","Lutjanus_fulvus",0.341081449464385,0.0151433043829427,0.0701040018807431,0.00365808279225045,0.0142952966606064,0.00118804864691679,7
"Lutjanidae","Lutjanus_gibbus",0.312096714435902,0.0248031412889217,0.0614470873106292,0.00461156704650885,0.0118810033998906,0.00141154420575518,7
"Lutjanidae","Lutjanus_goreensis",0.363553432217116,0.024712616087267,0.082414656745073,0.00585803802973788,0.0151154571235705,0.00198052519668782,7
"Lutjanidae","Lutjanus_griseus",0.364362247512569,0.024954886957254,0.0827239446799915,0.00591281148161778,0.0151299991038172,0.00199939944180412,7
"Lutjanidae","Lutjanus_guilcheri",0.354743670170944,0.020595492471372,0.0778455050113149,0.00489380147723411,0.0147936060022956,0.00164909331059,7
"Lutjanidae","Lutjanus_guttatus",0.363917262393004,0.0247790285513604,0.0825623244110246,0.00587368684611678,0.0151462209253576,0.00198605941544787,7
"Lutjanidae","Lutjanus_inermis",0.331996431943395,0.017067435518201,0.0672597299943212,0.0037156795297057,0.0136109726435367,0.00119435812645606,7
"Lutjanidae","Lutjanus_jocu",0.375736129863112,0.0331275721300488,0.0892515032318188,0.0078069081312671,0.0153760624165553,0.0026295909247706,4
"Lutjanidae","Lutjanus_johnii",0.359402692485443,0.02154981509172,0.0798159896367372,0.00514979436475214,0.0149597873503116,0.00173941557352965,7
"Lutjanidae","Lutjanus_jordani",0.355179831677342,0.0204521727800008,0.0779503893889472,0.00486709926318592,0.0148651168425006,0.00163989958729479,7
"Lutjanidae","Lutjanus_kasmira",0.340312610090193,0.0151622964834913,0.0698478330229899,0.00365159832431763,0.0142620383070171,0.00118515992555939,7
"Lutjanidae","Lutjanus_lemniscatus",0.357638262160579,0.0217063527173933,0.0792937684622792,0.00515839594210782,0.0149330987294659,0.00174130188802543,7
"Lutjanidae","Lutjanus_lunulatus",0.339127530672027,0.0170318267781073,0.0703639894319668,0.00389961377699474,0.0140803660699279,0.00127849872035575,7
"Lutjanidae","Lutjanus_lutjanus",0.33938076697887,0.0152596241856588,0.0693737205361211,0.00367098368355587,0.0143680407505263,0.00118098216153804,7
"Lutjanidae","Lutjanus_madras",0.333439455725138,0.0152513667145204,0.0666861606924099,0.00353160041695162,0.0139072227303573,0.00111898860379246,7
"Lutjanidae","Lutjanus_mahogoni",0.347077070305758,0.0182323508540665,0.0739973365438618,0.00429492544802639,0.0143238466297455,0.00143554037042064,7
"Lutjanidae","Lutjanus_malabaricus",0.367542257736763,0.0290906460657405,0.0852131227089575,0.00685661259365123,0.0151071402146546,0.00231287662157663,4
"Lutjanidae","Lutjanus_mizenkoi",0.329204513961529,0.0169211347115629,0.0659620500418384,0.00363106165483454,0.013471928953717,0.00115571294540466,7
"Lutjanidae","Lutjanus_monostigma",0.357918844124978,0.0213124365988448,0.0792215688498172,0.00507642640771663,0.0149574022241208,0.0017133810227889,7
"Lutjanidae","Lutjanus_notatus",0.325785949029608,0.016354905105372,0.0636954749475802,0.00351898774976677,0.0134286091089269,0.00109251358484949,7
"Lutjanidae","Lutjanus_novemfasciatus",0.378769635743161,0.0356348302384277,0.0910552375306124,0.00839348755714155,0.0154141541474105,0.00282168044162468,4
"Lutjanidae","Lutjanus_ophuysenii",0.310740590757266,0.019612077696112,0.0572494946464264,0.00359870005159407,0.012100643331307,0.00105638031805761,7
"Lutjanidae","Lutjanus_peru",0.366773918230788,0.0251665997129782,0.0837139991685825,0.00597433673136023,0.0153694959667498,0.00202132991741785,7
"Lutjanidae","Lutjanus_purpureus",0.367941961084919,0.0260000585965863,0.0843928887478669,0.00616436816443295,0.0153873560924108,0.00208536360865397,7
"Lutjanidae","Lutjanus_quinquelineatus",0.340481418176248,0.0155171756192667,0.0700888269050122,0.00371693749896184,0.0143681566640761,0.00120585682683426,7
"Lutjanidae","Lutjanus_rivulatus",0.32126625940116,0.0175517344067841,0.0634703193900105,0.00437548884071269,0.0111832625136015,0.0013932973660714,6
"Lutjanidae","Lutjanus_rufolineatus",0.327158378905352,0.0170139696099798,0.06491000904784,0.00358338998763857,0.0133513536769698,0.00112824731999615,7
"Lutjanidae","Lutjanus_russellii",0.350464072638664,0.019551253270297,0.0757453425867831,0.0046127480200878,0.0143898188100591,0.00154969784724049,7
"Lutjanidae","Lutjanus_sanguineus",0.367453853721134,0.0260632296331982,0.0842579379400896,0.00617587249169936,0.0153677314553361,0.00208914041141465,7
"Lutjanidae","Lutjanus_sebae",0.361632424483848,0.023053929924965,0.0811444897432308,0.00548703909171292,0.0150406010956566,0.00185491813060871,7
"Lutjanidae","Lutjanus_semicinctus",0.334116740512722,0.0199721086920636,0.0691043835676773,0.00429455298927228,0.0130582960547867,0.00140235671003595,7
"Lutjanidae","Lutjanus_stellatus",0.348846845531213,0.0177761610591459,0.0746500663971107,0.00427107997511289,0.0144789366022591,0.00143069963339886,7
"Lutjanidae","Lutjanus_synagris",0.355449458444338,0.0193643838680965,0.077630408125419,0.00465186234394547,0.0150102627319015,0.00156402184880208,7
"Lutjanidae","Lutjanus_timoriensis",0.348141850708944,0.0184585122007632,0.0745558110451089,0.00435840298940528,0.014523257845808,0.00145671104024215,7
"Lutjanidae","Lutjanus_viridis",0.325758107625519,0.0175932611868603,0.0646038125602997,0.00363011784215941,0.0132046904811674,0.00114152208873998,7
"Lutjanidae","Lutjanus_vitta",0.341022637360443,0.0151628023519154,0.0701132122378499,0.00366265978431202,0.0143100975077996,0.00118932431317208,7
"Lutjanidae","Macolor_macularis",0.356711516957979,0.0208815846729255,0.0786829091140622,0.00497207306091403,0.0150089984765253,0.00167615731073357,7
"Lutjanidae","Macolor_niger",0.364322470649491,0.0244857253499229,0.0826441690959758,0.00580898341357249,0.0152759550566821,0.0019647646627741,7
"Lutjanidae","Ocyurus_chrysurus",0.358470437852617,0.020926361949846,0.079278074695889,0.00500776890867858,0.0149822247504581,0.00169045721782138,7
"Lutjanidae","Paracaesio_sordida",0.35171739640624,0.0248847804811309,0.0780704403860581,0.00573357910249647,0.0143019596370329,0.00192103161021296,7
"Lutjanidae","Paracaesio_xanthura",0.354152534337569,0.0255626696639331,0.0792028406794335,0.00592105946212852,0.014421401550534,0.00198702549496672,7
"Lutjanidae","Pinjalo_lewisi",0.349020740882091,0.0189041488790267,0.0750787427541769,0.00446028424739375,0.0145664028443063,0.00149322029821736,7
"Lutjanidae","Pinjalo_pinjalo",0.364704126275281,0.0253826982286819,0.0830392430560158,0.00601064966439609,0.0151662280638107,0.00203228751446073,7
"Lutjanidae","Pristipomoides_aquilonaris",0.360288683613543,0.0275819064008233,0.0820946404131714,0.0064481944248511,0.0147021423310601,0.00216930566144813,4
"Lutjanidae","Pristipomoides_freemani",0.313337771724625,0.0198663937903659,0.0593618779923074,0.00367011947538148,0.0124005760473848,0.00109579305391694,7
"Lutjanidae","Pristipomoides_zonatus",0.352591175149358,0.0199743703830487,0.0768125735063796,0.00473661641863397,0.0146596089427362,0.00159373613931302,7
"Lutjanidae","Rhomboplites_aurorubens",0.354743324495018,0.018668425313747,0.0770946620341639,0.00450827637794016,0.0150461803451581,0.00151183099035408,7
"Lutjanidae","Symphorichthys_spilurus",0.357098293004267,0.0285110694349448,0.0810258197148827,0.00661206936482738,0.0142918411706074,0.00221467041363968,4
"Lutjanidae","Symphorus_nematophorus",0.369702966208185,0.0345915608402076,0.0871654988665406,0.00813100133037481,0.0145295416837625,0.00272335182653055,4
"Malacanthidae","Malacanthus_plumieri",0.287115930565756,0.02036676394331,0.0481996647203966,0.00539236800378228,0.00775732993655,0.0016118645935523,6
"Monacanthidae","Acanthaluteres_brownii",0.354284517337744,0.0169986161855614,0.0640219016690808,0.00373057942231997,0.00909653380622461,0.00102307866752851,3
"Monacanthidae","Acanthaluteres_spilomelanurus",0.333721673864216,0.029009777292819,0.0558117472046035,0.00563761042047337,0.00707459050178527,0.00113501407627508,3
"Monacanthidae","Acanthaluteres_vittiger",0.351090243454966,0.0189852240195016,0.0608039365690161,0.00407085790799283,0.00835272488788047,0.0010115504148336,3
"Monacanthidae","Acreichthys_radiatus",0.301991864120337,0.0481963288872177,0.0495814220024669,0.0088399901050161,0.00554910789036488,0.00153890624886644,1
"Monacanthidae","Acreichthys_tomentosus",0.307853133800533,0.0434331317915276,0.0507872680852603,0.00801182308589186,0.00595929194982456,0.00141336627695995,1
"Monacanthidae","Aluterus_heudelotii",0.291645541270367,0.0142038070676902,0.0387558737488867,0.00314980300066372,0.0052739035018515,0.000893765353930461,2
"Monacanthidae","Aluterus_monoceros",0.357738525876796,0.0140083916648693,0.0640496116179904,0.0033109713526963,0.00926349411145601,0.00100927143840717,3
"Monacanthidae","Aluterus_schoepfii",0.288648978109449,0.0146764179618951,0.0379299381240356,0.0032710262499911,0.00519976663936098,0.00093480709740862,2
"Monacanthidae","Aluterus_scriptus",0.371286762630278,0.015351310483872,0.0660725219897263,0.00374108042912604,0.00946686980256737,0.00112498288691425,3
"Monacanthidae","Amanses_scopas",0.365499675520679,0.0174151970766502,0.0621157071748392,0.00416566664773571,0.00850351390447386,0.00115765742924676,3
"Monacanthidae","Anacanthus_barbatus",0.328128272284641,0.0284768406140406,0.0558897468599849,0.00544748139978532,0.00730637793152473,0.00107552373839331,3
"Monacanthidae","Brachaluteres_jacksonianus",0.308359870897529,0.0432493414405097,0.0508191368741152,0.00797524012119618,0.00591155249206537,0.00140927779657552,1
"Monacanthidae","Brachaluteres_taylori",0.304683111971902,0.0460557966896653,0.0501521676075004,0.0084538409583974,0.00565127431408608,0.00148177227365761,1
"Monacanthidae","Brachaluteres_ulvarum",0.306065795568074,0.0450760342233492,0.0503773314879374,0.00829043729585346,0.00575564758221543,0.00145635770281661,1
"Monacanthidae","Cantherhines_dumerilii",0.358902066696225,0.0189077604360529,0.0614140046691627,0.00427702622118799,0.00834585902160362,0.001114285478601,3
"Monacanthidae","Cantherhines_fronticinctus",0.326496789370776,0.0296923474103055,0.0549775899840892,0.00564881232300545,0.00707661677919579,0.00109394119476412,3
"Monacanthidae","Cantherhines_longicaudus",0.317334552505285,0.0370448261840873,0.0525365164973456,0.00690972674619029,0.00635168779226279,0.00125843222197941,1
"Monacanthidae","Cantherhines_macrocerus",0.297616789086208,0.0535875692165138,0.0494196968652533,0.00982998212354454,0.00552074507021129,0.00169936023226989,1
"Monacanthidae","Cantherhines_pardalis",0.279463135936734,0.0671380036550738,0.0452196317394705,0.0122371523472031,0.00447276300511729,0.00208045052446731,1
"Monacanthidae","Cantherhines_pullus",0.278507103477688,0.0675093951279871,0.0449266926286181,0.0123014243327373,0.00441086801666137,0.0020902755967347,1
"Monacanthidae","Cantherhines_rapanui",0.323200841774911,0.032950400529997,0.0538738180972258,0.0062206543154753,0.00673309230596786,0.00116958175443614,1
"Monacanthidae","Cantherhines_sandwichiensis",0.278770394686741,0.067240331435709,0.0449624067025234,0.0122534471208604,0.00441993221046246,0.00208246562229962,1
"Monacanthidae","Cantherhines_verecundus",0.303351854950754,0.0512365075756614,0.049815891070777,0.00944183368981617,0.00554465171864535,0.00164136286448427,1
"Monacanthidae","Cantheschenia_grandisquamis",0.32819646914682,0.0298431642928487,0.0552321362266607,0.00570846223795655,0.00709037151286817,0.0011131742483661,3
"Monacanthidae","Cantheschenia_longipinnis",0.319104934435351,0.0368392149038717,0.0528517617208749,0.00690007392742064,0.0064077723792935,0.0012644698659802,1
"Monacanthidae","Chaetodermis_penicilligerus",0.322178359921846,0.0317184794933089,0.0550742882099784,0.00595961073647188,0.00716075367851595,0.00113014772846834,1
"Monacanthidae","Eubalichthys_bucephalus",0.353864166835113,0.0172458315361581,0.0632758420041992,0.00376991772741888,0.00892886558450932,0.00100925777555906,3
"Monacanthidae","Eubalichthys_caeruleoguttatus",0.332957338441342,0.0260101853998765,0.0573634300402796,0.00504857447510536,0.00764732623007582,0.00104323694045761,3
