"Family","species","max_size","sst","kmax_m","kmax_sd","r_phylo_m","r_phylo_sd"
"Serranidae","Paranthias_colonus",35.799999235,24,0.164407962640107,0.0227289315780409,-0.264187653264719,0.365420668396356
"Serranidae","Paranthias_colonus",35.799999235,25,0.167916111033314,0.0227429533878587,-0.264187653264719,0.365420668396356
"Serranidae","Paranthias_colonus",35.799999235,26,0.171526917792742,0.0229531695673808,-0.264187653264719,0.365420668396356
"Serranidae","Paranthias_colonus",35.799999235,27,0.175243844398876,0.0233813391784835,-0.264187653264719,0.365420668396356
"Serranidae","Paranthias_colonus",35.799999235,28,0.179070483502853,0.024045183268209,-0.264187653264719,0.365420668396356
"Serranidae","Paranthias_furcifer",35,22,0.169532259848013,0.0563144756729214,-0.251785844275204,0.473202334980591
"Serranidae","Paranthias_furcifer",35,23,0.173090330897243,0.0570685644315554,-0.251785844275204,0.473202334980591
"Serranidae","Paranthias_furcifer",35,24,0.176752122629884,0.0579374179576195,-0.251785844275204,0.473202334980591
"Serranidae","Paranthias_furcifer",35,25,0.180521129909255,0.0589301451618172,-0.251785844275204,0.473202334980591
"Serranidae","Paranthias_furcifer",35,27,0.188395438225524,0.0613244457499801,-0.251785844275204,0.473202334980591
"Serranidae","Plectropomus_areolatus",73,27,0.153177456508925,0.0544960224176728,0.0981866141452187,0.485689552850456
"Serranidae","Plectropomus_areolatus",73,28,0.156501763881361,0.0557323481320043,0.0981866141452187,0.485689552850456
"Serranidae","Plectropomus_areolatus",73,29,0.159923794684516,0.0570824676974327,0.0981866141452187,0.485689552850456
"Serranidae","Plectropomus_areolatus",73,30,0.163446845245159,0.0585526142950035,0.0981866141452187,0.485689552850456
"Serranidae","Plectropomus_laevis",125,24,0.10663301956958,0.0317855703760826,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_laevis",125,25,0.10889479617984,0.032257364054557,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_laevis",125,26,0.111222599661975,0.032806513184182,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_laevis",125,27,0.113618650325567,0.033438819013853,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_laevis",125,28,0.116085252341895,0.0341600898905563,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_laevis",125,29,0.118624797206902,0.0349761024326375,0.231222435977064,0.459166712080757
"Serranidae","Plectropomus_leopardus",120,24,0.041146148299389,0.00868624459551228,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_leopardus",120,25,0.0420218305144941,0.0087878982599829,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_leopardus",120,26,0.0429230829387981,0.00892534026644958,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_leopardus",120,27,0.0438507646039294,0.0091015757980024,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_leopardus",120,28,0.0448057669291986,0.0093194269437426,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_leopardus",120,29,0.045789015056743,0.00958148407836431,-0.731520026544593,0.415598120790105
"Serranidae","Plectropomus_maculatus",100,24,0.0779887911931149,0.0274420168508693,-0.267381307890562,0.490368540640063
