Species,Family,species,sizemax
Stegastes adustus,Pomacentridae,Stegastes_adustus,15
Stegastes albifasciatus,Pomacentridae,Stegastes_albifasciatus,13
Stegastes apicalis,Pomacentridae,Stegastes_apicalis,15
Stegastes arcifrons,Pomacentridae,Stegastes_arcifrons,13
Stegastes aureus,Pomacentridae,Stegastes_aureus,11
Stegastes beebei,Pomacentridae,Stegastes_beebei,15
Stegastes diencaeus,Pomacentridae,Stegastes_diencaeus,12.5
Stegastes emeryi,Pomacentridae,Stegastes_emeryi,10
Stegastes fasciolatus,Pomacentridae,Stegastes_fasciolatus,16.5
Stegastes flavilatus,Pomacentridae,Stegastes_flavilatus,10
Stegastes fuscus,Pomacentridae,Stegastes_fuscus,12.6
Stegastes gascoynei,Pomacentridae,Stegastes_gascoynei,15
Stegastes imbricatus,Pomacentridae,Stegastes_imbricatus,10
Stegastes insularis,Pomacentridae,Stegastes_insularis,11
Stegastes leucorus,Pomacentridae,Stegastes_leucorus,14
Stegastes leucostictus,Pomacentridae,Stegastes_leucostictus,10
Stegastes lividus,Pomacentridae,Stegastes_lividus,11
Stegastes nigricans,Pomacentridae,Stegastes_nigricans,14
Stegastes obreptus,Pomacentridae,Stegastes_obreptus,12
Stegastes partitus,Pomacentridae,Stegastes_partitus,10
Stegastes pictus,Pomacentridae,Stegastes_pictus,7.5
Stegastes planifrons,Pomacentridae,Stegastes_planifrons,13
Stegastes punctatus,Pomacentridae,Stegastes_punctatus,13
Stegastes redemptus,Pomacentridae,Stegastes_redemptus,12
Stegastes sanctipauli,Pomacentridae,Stegastes_sanctipauli,9
Stegastes variabilis,Pomacentridae,Stegastes_variabilis,12.5
Stephanolepis hispidus,Monacanthidae,Stephanolepis_hispidus,27.5
Stethojulis albovittata,Labridae,Stethojulis_albovittata,14
Stethojulis balteata,Labridae,Stethojulis_balteata,15
Stethojulis bandanensis,Labridae,Stethojulis_bandanensis,15
Stethojulis interrupta,Labridae,Stethojulis_interrupta,13
Stethojulis strigiventer,Labridae,Stethojulis_strigiventer,15
Stethojulis trilineata,Labridae,Stethojulis_trilineata,15
Sufflamen albicaudatum,Balistidae,Sufflamen_albicaudatum,22
Sufflamen bursa,Balistidae,Sufflamen_bursa,25
Sufflamen chrysopterum,Balistidae,Sufflamen_chrysopterum,30
Sufflamen fraenatum,Balistidae,Sufflamen_fraenatum,38
Sufflamen verres,Balistidae,Sufflamen_verres,40
Symphorichthys spilurus,Lutjanidae,Symphorichthys_spilurus,60
Symphorus nematophorus,Lutjanidae,Symphorus_nematophorus,100
Taenianotus triacanthus,Scorpaenidae,Taenianotus_triacanthus,10
Thalassoma amblycephalum,Labridae,Thalassoma_amblycephalum,16
Thalassoma ballieui,Labridae,Thalassoma_ballieui,39.5
Thalassoma bifasciatum,Labridae,Thalassoma_bifasciatum,25
Thalassoma duperrey,Labridae,Thalassoma_duperrey,28
Thalassoma grammaticum,Labridae,Thalassoma_grammaticum,32
Thalassoma hardwicke,Labridae,Thalassoma_hardwicke,20
Thalassoma hebraicum,Labridae,Thalassoma_hebraicum,23
Thalassoma heiseri,Labridae,Thalassoma_heiseri,11.62
Thalassoma jansenii,Labridae,Thalassoma_jansenii,20
Thalassoma lucasanum,Labridae,Thalassoma_lucasanum,15
Thalassoma lunare,Labridae,Thalassoma_lunare,45
Thalassoma lutescens,Labridae,Thalassoma_lutescens,30
Thalassoma newtoni,Labridae,Thalassoma_newtoni,24.7020778534408
Thalassoma nigrofasciatum,Labridae,Thalassoma_nigrofasciatum,20
Thalassoma noronhanum,Labridae,Thalassoma_noronhanum,13.3
Thalassoma pavo,Labridae,Thalassoma_pavo,25
Thalassoma purpureum,Labridae,Thalassoma_purpureum,46
Thalassoma quinquevittatum,Labridae,Thalassoma_quinquevittatum,17
Thalassoma robertsoni,Labridae,Thalassoma_robertsoni,7.82
Thalassoma rueppellii,Labridae,Thalassoma_rueppellii,20
Thalassoma trilobatum,Labridae,Thalassoma_trilobatum,30
Thamnaconus analis,Monacanthidae,Thamnaconus_analis,19.3
Trachypoma macracanthus,Serranidae,Trachypoma_macracanthus,22
Upeneus tragula,Mullidae,Upeneus_tragula,25
Variola albimarginata,Serranidae,Variola_albimarginata,65
Variola louti,Serranidae,Variola_louti,83
Xanthichthys auromarginatus,Balistidae,Xanthichthys_auromarginatus,30
Xanthichthys mento,Balistidae,Xanthichthys_mento,30
Xenocys jessiae,Haemulidae,Xenocys_jessiae,30
Zanclus cornutus,Zanclidae,Zanclus_cornutus,40.9769285387774
Zebrasoma desjardinii,Acanthuridae,Zebrasoma_desjardinii,40
Zebrasoma flavescens,Acanthuridae,Zebrasoma_flavescens,20
Zebrasoma rostratum,Acanthuridae,Zebrasoma_rostratum,21
Zebrasoma scopas,Acanthuridae,Zebrasoma_scopas,40
Zebrasoma velifer,Acanthuridae,Zebrasoma_velifer,36.4804695803103
Zebrasoma xanthurum,Acanthuridae,Zebrasoma_xanthurum,36.7
Rhinesomus triqueter,Ostraciidae,Rhinesomus_triqueter,36.5458910790314
Abudefduf luridus,Pomacentridae,Abudefduf_luridus,10.5276220829454
