"","species","sizemax","sst","k_m","k_sd"
"3963","Stegastes_insularis",11,27,0.476850485938199,0.0588605432281318
"3964","Stegastes_insularis",11,28,0.487330651085219,0.0611909686706175
"3965","Stegastes_leucorus",14,25,0.453943201418651,0.0607853501046492
"3966","Stegastes_leucorus",14,26,0.46375987266231,0.0617613627632609
"3967","Stegastes_leucostictus",10,26,0.545889667148585,0.0632071846605753
"3968","Stegastes_leucostictus",10,27,0.557799142803713,0.0650239253316473
"3969","Stegastes_leucostictus",10,28,0.570060552473668,0.0676820423929575
"3970","Stegastes_lividus",13,25,0.426774723613998,0.0475843377741505
"3971","Stegastes_lividus",13,26,0.43603125483827,0.0485142418673046
"3972","Stegastes_lividus",13,29,0.465476143564316,0.0554690878461348
"3973","Stegastes_nigricans",13.5,25,0.500266766008578,0.136689432747369
"3974","Stegastes_nigricans",13.5,26,0.511141751293112,0.139563333181752
"3975","Stegastes_nigricans",13.5,27,0.522338055925231,0.142855445511754
"3976","Stegastes_nigricans",13.5,28,0.533866586945413,0.146591538541948
"3977","Stegastes_nigricans",13.5,29,0.545738666183224,0.150796743749673
"3978","Stegastes_obreptus",12,25,0.393027269122859,0.0532208108562656
"3979","Stegastes_obreptus",12,26,0.401536696806188,0.0541919165578833
"3980","Stegastes_obreptus",12,27,0.410296574260128,0.0556820926398318
"3981","Stegastes_obreptus",12,28,0.419315394206536,0.0577208011519331
"3982","Stegastes_obreptus",12,29,0.428601972477364,0.0603267340334697
"3983","Stegastes_partitus",10,26,0.506118474915792,0.061335943037368
"3984","Stegastes_partitus",10,27,0.517163951668171,0.0631166939931502
"3985","Stegastes_partitus",10,28,0.528535993299413,0.0656519586386341
"3986","Stegastes_pictus",7.5,23,0.62128927932112,0.090686236053917
"3987","Stegastes_pictus",7.5,24,0.634569719532442,0.0911437443083443
"3988","Stegastes_pictus",7.5,25,0.64823890182756,0.0923161730900391
"3989","Stegastes_pictus",7.5,26,0.662309932313983,0.0942736746942722
"3990","Stegastes_pictus",7.5,27,0.67679641319195,0.0970736224817191
"3991","Stegastes_planifrons",13,26,0.409172133849313,0.0488785132270281
"3992","Stegastes_planifrons",13,27,0.41810368200051,0.0503466010641424
"3993","Stegastes_planifrons",13,28,0.427299454610546,0.0524366013313656
"3994","Stegastes_punctatus",13,25,0.52724282872598,0.0434701172529276
"3995","Stegastes_punctatus",13,26,0.538718474622475,0.0446974306222889
"3996","Stegastes_punctatus",13,27,0.550533353852773,0.0470341239855579
"3997","Stegastes_punctatus",13,28,0.562699006883231,0.0504714777679413
"3998","Stegastes_redemptus",12,26,0.458992380533671,0.0585451253828765
"3999","Stegastes_sanctipauli",9,27,0.697563748443371,0.0690684351818858
"4000","Stegastes_variabilis",12.5,22,0.443944675445531,0.0548094981462106
"4001","Stegastes_variabilis",12.5,23,0.453336328946983,0.0539092202441075
"4002","Stegastes_variabilis",12.5,24,0.463000707394014,0.053507282566422
"4003","Stegastes_variabilis",12.5,25,0.472946934366992,0.053690181788994
"4004","Stegastes_variabilis",12.5,26,0.48318447611509,0.0545348140046904
"4005","Stegastes_variabilis",12.5,27,0.493723155632181,0.0561010748429793
"4006","Stegastes_variabilis",12.5,28,0.504573167356234,0.0584270647267597
"4007","Equetus_punctatus",27,27,0.267197137619943,0.0161665651012841
"4008","Equetus_punctatus",27,28,0.273051909036515,0.0173409663932805
"4009","Odontoscion_dentex",30,22,0.221539880917702,0.0169217653957942
"4010","Odontoscion_dentex",30,23,0.226211931957784,0.0153454760825444
"4011","Odontoscion_dentex",30,24,0.231019673817091,0.0140303021424634
"4012","Odontoscion_dentex",30,27,0.246303275727924,0.0132137972826349
"4013","Odontoscion_dentex",30,28,0.251700892162216,0.0143669387972517
"4014","Odontoscion_xanthops",30,24,0.231019673817091,0.0140303021424634
"4015","Odontoscion_xanthops",30,25,0.235967643777459,0.0131284508268445
"4016","Odontoscion_xanthops",30,27,0.246303275727924,0.0132137972826349
"4017","Odontoscion_xanthops",30,28,0.251700892162216,0.0143669387972517
"4018","Pareques_acuminatus",23,22,0.272610567867926,0.0249478113118202
"4019","Pareques_acuminatus",23,23,0.27835735808285,0.0234810969077936
"4020","Pareques_acuminatus",23,24,0.284271010861989,0.0223411667813787
"4021","Pareques_acuminatus",23,25,0.290357104818573,0.0216472213646766
"4022","Pareques_acuminatus",23,27,0.303069986126954,0.0220472773806937
"4023","Pareques_acuminatus",23,28,0.309709012265579,0.023276344913486
"4024","Pareques_viola",25,24,0.271508789577996,0.0201188515469837
"4025","Pareques_viola",25,25,0.277315348780966,0.0192689868538845
"4026","Pareques_viola",25,27,0.289444225500461,0.0193636669926504
"4027","Pareques_viola",25,28,0.29577821548046,0.0204707865378836
"4028","Dendrochirus_zebra",25,21,0.232749627926212,0.0377171705495039
"4029","Dendrochirus_zebra",25,25,0.253437115472796,0.0397624855414447
"4030","Dendrochirus_zebra",25,26,0.258995722139286,0.0409919823176219
"4031","Dendrochirus_zebra",25,27,0.26471959677281,0.0425429510179992
"4032","Dendrochirus_zebra",25,28,0.270614379502299,0.0444249372033522
"4033","Pterois_antennata",20,26,0.309183264239374,0.0487892735473363
"4034","Pterois_antennata",20,27,0.316002884578093,0.0505331791714275
"4035","Pterois_antennata",20,28,0.323025875016413,0.0526714941771244
"4036","Pterois_antennata",20,29,0.330259196209041,0.0552124675115696
"4037","Pterois_miles",35,24,0.187215378704342,0.0418309942710085
"4038","Pterois_miles",35,26,0.19556772817455,0.0443659860464033
"4039","Pterois_miles",35,28,0.204427305055848,0.0476931078685386
"4040","Pterois_radiata",24,25,0.261938655241054,0.040801091800892
"4041","Pterois_radiata",24,26,0.267680184328689,0.0420410599159005
"4042","Pterois_radiata",24,27,0.27359235580385,0.0436144279142578
"4043","Pterois_radiata",24,28,0.279680991443562,0.0455313815297206
"4044","Pterois_radiata",24,29,0.28595213509972,0.0477979552381904
"4045","Pterois_volitans",38,21,0.164337403242935,0.039144431911092
"4046","Pterois_volitans",38,22,0.167873169931031,0.039856206746714
"4047","Pterois_volitans",38,25,0.179119368873313,0.0429051644482167
"4048","Pterois_volitans",38,26,0.183093247778789,0.0442557699072416
"4049","Pterois_volitans",38,27,0.187186138872289,0.0457868175897227
"4050","Pterois_volitans",38,28,0.191402127556003,0.0475053505350246
"4051","Pterois_volitans",38,29,0.195745455776831,0.0494178712610255
"4052","Pterois_volitans",38,30,0.200220528561696,0.0515304461960252
"4053","Scorpaena_cardinalis",22,21,0.244110583522228,0.0959222977896953
