bioregion,species,Fc_p_m,Fc_p_sd,Fc_p_q1,Fc_p_q3,Fn_p_m,Fn_p_sd,Fn_p_q1,Fn_p_q3,Fp_p_m,Fp_p_sd,Fp_p_q1,Fp_p_q3,Ic_p_m,Ic_p_sd,Ic_p_q1,Ic_p_q3,Gc_p_m,Gc_p_sd,Gc_p_q1,Gc_p_q3,I_herb_p_m,I_herb_p_sd,I_herb_p_q1,I_herb_p_q3,I_pisc_p_m,I_pisc_p_sd,I_pisc_p_q1,I_pisc_p_q3,occurence,rel_occ
c_pacific,Kyphosus_sydneyanus,0.006962930508398967,0.14502638058507328,3.1659181756507826e-4,0.8012676313323327,0.00583913350503813,0.1435350131262545,2.650483774255639e-4,0.7614647877482275,0.005737162324338146,0.1435350131262545,1.1633249033891645e-4,0.7888826190502025,0.00695966764695306,0.14380616901804133,3.258585586056815e-4,0.7946712986978616,0.0064208621365270955,0.12370779879022048,4.0264521969620776e-4,0.6847942401883352,0.3765780020505422,0.3087899688359864,0.006910551156066155,0.9943655639325193,0,0,0,0,29,2.9051129988780255e-4
c_pacific,Labroides_phthirophagus,2.731111550882297e-5,2.0005849077501118e-4,4.6095854101167755e-6,1.9706771422140336e-4,3.800359442970931e-5,1.758994722030923e-4,7.150339562531638e-6,2.5161787841562674e-4,2.0100236654877316e-5,1.758994722030923e-4,3.957640879316266e-6,2.1095332935801978e-4,3.0368079700887103e-5,2.0652775794483273e-4,5.0025588766878506e-6,2.20323243644069e-4,6.261492157465462e-5,2.867005993521593e-4,8.763009857720101e-6,5.251828490865084e-4,0,0,0,0,0,0,0,0,86,8.615162686327937e-4
c_pacific,Lactoria_diaphana,0.004167450469401572,0.0035843233786688267,4.617455686022312e-4,0.01323228852458366,0.004653035827942806,0.00498282788265081,4.7098225140738693e-4,0.01466733489140043,0.0038022147543047007,0.00498282788265081,1.7769574606144888e-4,0.01763881183168548,0.0041726033321553705,0.0034940620505228095,4.769170681569882e-4,0.012565304927198328,0.0032558198243474905,0.002910165705981844,4.763082139069521e-4,0.011056892051454499,0,0,0,0,0,0,0,0,17,1.7029972752043596e-4
c_pacific,Leptojulis_cyanopleura,2.3717269075894507e-5,NA,2.3717269075894507e-5,2.3717269075894507e-5,2.2826784903231458e-5,NA,2.2826784903231458e-5,2.2826784903231458e-5,4.401779758251708e-6,NA,4.401779758251708e-6,4.401779758251708e-6,2.5013841136938905e-5,NA,2.5013841136938905e-5,2.5013841136938905e-5,3.544048799471076e-5,NA,3.544048799471076e-5,3.544048799471076e-5,0,NA,0,0,0,NA,0,0,1,1.001763103061388e-5
c_pacific,Leptoscarus_vaigiensis,0.010415599779239393,0.0049309528534544214,0.0024553224080647736,0.013487600648598169,0.009184206805729138,0.0038844242212957886,0.0026336905669654058,0.01281069828064665,0.009027856940195813,0.0038844242212957886,0.007591763452912504,0.01597846279957344,0.009706334794457415,0.004673779365650781,0.002316199001523765,0.012824215889186164,0.0030459196870521034,0.0021986273560574403,0.00106255695226411,0.006102145581430199,0.11851869681705024,0.06049495085936208,0.04104090565016761,0.1804597407689117,0,0,0,0,3,3.005289309184164e-5
c_pacific,Lethrinus_amboinensis,2.3025876514322892e-4,NA,2.3025876514322892e-4,2.3025876514322892e-4,3.906981472354382e-4,NA,3.906981472354382e-4,3.906981472354382e-4,0.0011599309324486803,NA,0.0011599309324486803,0.0011599309324486803,2.334314602442386e-4,NA,2.334314602442386e-4,2.334314602442386e-4,2.479064769694556e-4,NA,2.479064769694556e-4,2.479064769694556e-4,0,NA,0,0,0.2026827777315178,NA,0.2026827777315178,0.2026827777315178,1,1.001763103061388e-5
c_pacific,Lethrinus_erythropterus,0.003281684418352741,0.0011866284149495898,0.002254034066153934,0.004309334770551548,0.00476830826822914,0.0039026217937812016,0.003188543010222688,0.0063480735262355925,0.011452681661465779,0.0039026217937812016,0.008072912046688464,0.014832451276243094,0.003315238637383114,0.0012056576246648077,0.0022711085061569865,0.004359368768609241,0.0034918516797237537,0.0013256808113257272,0.0023437784198061086,0.004639924939641399,0,0,0,0,0.3070930154905034,0.04067167248568847,0.2718703139034966,0.3423157170775102,2,2.003526206122776e-5
c_pacific,Lethrinus_laticaudis,0.0015269087907072384,0.004007428894028148,1.306179468260584e-4,0.012594872881021721,0.001656578227747026,0.0043217606824360036,1.5952143348042468e-4,0.012527104619833475,0.001901777328761477,0.0043217606824360036,3.3258150323600374e-4,0.012710626082416984,0.0014985169558835957,0.00384967687757008,1.2397066140931165e-4,0.011895295587963784,0.0014110870565204325,0.0028381852932607755,6.488042940381158e-5,0.008523073972556862,0,0,0,0,0,0,0,0,11,1.1019394133675268e-4
c_pacific,Lethrinus_lentjan,0.018509219360494038,0.05096332170608192,0.002075934606614269,0.14376714542305669,0.01910804473466022,0.032530003037405344,0.0021483189534970914,0.13628136038723324,0.01737924189272138,0.032530003037405344,0.0022046448363541226,0.1009341317181962,0.018316252343675773,0.049886049396683056,0.00210296425137978,0.1417336557805835,0.016582388135383423,0.04074725349362008,0.002644658938887322,0.12308334444291244,0,0,0,0,0,0,0,0,10,1.001763103061388e-4
c_pacific,Lethrinus_miniatus,7.824417380831742e-4,4.0717854881249237e-4,1.4391736757852168e-4,0.00106100264845021,0.0012980085898938224,0.0033975417140154275,2.607818359259852e-4,0.001967177663650204,0.0050136653967084045,0.0033975417140154275,0.0011264862896104265,0.008972663219548288,7.6661705614621e-4,4.2012184611861796e-4,1.490087571398291e-4,0.001105832546849469,6.176085882362529e-4,6.600636856498282e-4,2.1013763019354914e-4,0.00168596266589649,0,0,0,0,0.27222853795882535,0.32776951778680924,0.17544344789057495,0.8739943674121402,3,3.005289309184164e-5
c_pacific,Lethrinus_ornatus,0.0035398169695692906,NA,0.0035398169695692906,0.0035398169695692906,0.0040445487767457496,NA,0.0040445487767457496,0.0040445487767457496,0.004906980342601033,NA,0.004906980342601033,0.004906980342601033,0.003425969521968276,NA,0.003425969521968276,0.003425969521968276,0.0022456615873415737,NA,0.0022456615873415737,0.0022456615873415737,0,NA,0,0,0,NA,0,0,1,1.001763103061388e-5
c_pacific,Lethrinus_rubrioperculatus,0.012323433191706269,0.013738497377618843,4.25545452862459e-4,0.02422132093055008,0.020485340869750446,0.1117199186615619,6.814435543674699e-4,0.04028923818513342,0.09842432225882038,0.1117199186615619,0.0016720345891765845,0.19517660992846417,0.012101422131687838,0.013416926384540843,4.8202304196976657e-4,0.02372082122140591,0.010418462772717723,0.011028357352595669,8.676251433569769e-4,0.01996930040207847,0,0,0,0,0.5702997676055253,0.4961750896875895,0.1405995352110505,1,2,2.003526206122776e-5
